start_date,total_sessions,total_duration_minutes,avg_duration_minutes,completed_sessions,material_types,total_jobs,success_rate,utilization_hours
2023-05-18,3,15.42,5.14,3,1,3,100.0,0.3
2023-05-19,2,9.57,4.78,2,1,2,100.0,0.2
2023-05-22,2,9.45,4.72,2,1,2,100.0,0.2
2023-05-23,3,31.92,10.64,3,1,3,100.0,0.5
2023-05-25,1,4.52,4.52,1,1,1,100.0,0.1
2023-05-26,2,9.5,4.75,2,1,2,100.0,0.2
2023-05-29,4,20.82,5.2,4,1,2,100.0,0.3
2023-05-30,1,4.53,4.53,1,1,1,100.0,0.1
2023-06-01,4,21.67,5.42,4,1,4,100.0,0.4
2023-06-02,1,4.67,4.67,1,1,1,100.0,0.1
2023-06-05,5,24.65,4.93,5,1,5,100.0,0.4
2023-06-06,3,15.08,5.03,3,1,3,100.0,0.3
2023-06-07,1,4.67,4.67,1,1,1,100.0,0.1
2023-06-08,5,131.55,26.31,5,1,3,100.0,2.2
2023-06-09,1,4.82,4.82,1,1,1,100.0,0.1
2023-06-12,1,4.63,4.63,1,1,1,100.0,0.1
2023-06-13,2,9.87,4.93,2,1,2,100.0,0.2
2023-06-15,3,14.02,4.67,3,1,3,100.0,0.2
2023-06-16,1,6.35,6.35,1,1,1,100.0,0.1
2023-06-19,2,10.0,5.0,2,1,2,100.0,0.2
2023-06-20,4,18.68,4.67,4,1,4,100.0,0.3
2023-06-21,1,3.95,3.95,1,1,1,100.0,0.1
2023-06-22,3,15.17,5.06,3,1,3,100.0,0.3
2023-06-23,1,4.57,4.57,1,1,1,100.0,0.1
2023-06-26,2,9.8,4.9,2,1,2,100.0,0.2
2023-06-27,7,35.3,5.04,7,1,7,100.0,0.6
2023-07-03,1,5.02,5.02,1,1,1,100.0,0.1
2023-07-06,3,43.1,14.37,3,1,6,100.0,0.7
2023-07-07,5,24.48,4.9,5,1,5,100.0,0.4
2023-07-10,5,24.68,4.94,5,1,5,100.0,0.4
2023-07-11,6,116.08,19.35,6,1,6,100.0,1.9
2023-07-13,2,9.4,4.7,2,1,2,100.0,0.2
2023-07-14,5,23.88,4.78,5,1,5,100.0,0.4
2023-07-17,3,14.35,4.78,3,1,3,100.0,0.2
2023-07-18,1,5.05,5.05,1,1,1,100.0,0.1
2023-07-20,5,72.82,14.56,5,1,4,100.0,1.2
2023-07-21,7,34.38,4.91,7,1,7,100.0,0.6
2023-07-22,3,14.98,4.99,3,1,3,100.0,0.2
2023-07-24,3,15.82,5.27,3,1,3,100.0,0.3
2023-07-27,2,11.5,5.75,2,1,2,100.0,0.2
2023-07-28,5,104.5,20.9,5,1,5,100.0,1.7
2023-07-29,2,45.18,22.59,2,1,6,100.0,0.8
2023-07-31,3,14.03,4.68,3,1,3,100.0,0.2
2023-08-01,3,14.52,4.84,3,1,3,100.0,0.2
2023-08-02,2,8.98,4.49,2,1,2,100.0,0.1
2023-08-03,5,87.98,17.6,5,1,9,100.0,1.5
